cage_type,sex,animal_id,cage_id,jb_replicate,batch,randomized_order,date_of_arrival,start_date_of_experiment,age_at_start_date,date_of_testing,age_at_testing,,,,
3,Male,41-1,41,2,1,3,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Male,41-2,41,2,1,3,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Male,41-3,41,2,1,3,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Male,41-4,41,2,1,3,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Male,41-5,41,2,1,3,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Female,50-1,50,2,1,6,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Female,50-2,50,2,1,6,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Female,50-3,50,2,1,6,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Female,50-4,50,2,1,6,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Female,50-5,50,2,1,6,9/11/14,9/29/15,383,9/29/15,404.00,,,,
3,Male,77-1,77,3,1,5,10/15/14,9/29/15,349,9/29/15,370.00,,,,
3,Male,77-2,77,3,1,5,10/15/14,9/29/15,349,9/29/15,370.00,,,,
3,Male,77-3,77,3,1,5,10/15/14,9/29/15,349,9/29/15,370.00,,,,
3,Male,77-4,77,3,1,5,10/15/14,9/29/15,349,9/29/15,370.00,,,,
3,Male,77-5,77,3,1,5,10/15/14,9/29/15,349,x,x,,,,
3,Female,158-1,158,5,1,4,2/26/15,9/29/15,215,9/29/15,236.00,,,,
3,Female,158-2,158,5,1,4,2/26/15,9/29/15,215,9/29/15,236.00,,,,
3,Female,158-3,158,5,1,4,2/26/15,9/29/15,215,9/29/15,236.00,,,,
3,Female,158-4,158,5,1,4,2/26/15,9/29/15,215,9/29/15,236.00,,,,
3,Female,158-5,158,5,1,4,2/26/15,9/29/15,215,9/29/15,236.00,,,,
2,Male,173-1,173,6,1,1,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Male,173-2,173,6,1,1,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Male,173-3,173,6,1,1,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Male,173-4,173,6,1,1,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Male,173-5,173,6,1,1,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Female,182-1,182,6,1,2,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Female,182-2,182,6,1,2,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Female,182-3,182,6,1,2,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Female,182-4,182,6,1,2,4/2/15,9/29/15,180,9/29/15,201.00,,,,
2,Female,182-5,182,6,1,2,4/2/15,9/29/15,180,9/29/15,201.00,,,,
3,Female,86-1,86,3,2,7,10/15/14,9/29/15,349,10/27/15,398.00,,,,
3,Female,86-2,86,3,2,7,10/15/14,9/29/15,349,10/27/15,398.00,,,,
3,Female,86-3,86,3,2,7,10/15/14,9/29/15,349,10/27/15,398.00,,,,
3,Female,86-4,86,3,2,7,10/15/14,9/29/15,349,10/27/15,398.00,,,,
3,Female,86-5,86,3,2,7,10/15/14,9/29/15,349,10/27/15,398.00,,,,
2,Male,110-1,110,4,2,8,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Male,110-2,110,4,2,8,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Male,110-3,110,4,2,8,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Male,110-4,110,4,2,8,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Male,110-5,110,4,2,8,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Female,119-1,119,4,2,9,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Female,119-2,119,4,2,9,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Female,119-3,119,4,2,9,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Female,119-4,119,4,2,9,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Female,119-5,119,4,2,9,1/22/15,9/29/15,250,10/27/15,299.00,,,,
2,Male,146-1,146,5,2,12,2/26/15,9/29/15,215,10/27/15,264.00,,,,
2,Male,146-2,146,5,2,12,2/26/15,9/29/15,215,10/27/15,264.00,,,,
2,Male,146-3,146,5,2,12,2/26/15,9/29/15,215,10/27/15,264.00,,,,
2,Male,146-4,146,5,2,12,2/26/15,9/29/15,215,10/27/15,264.00,,,,
2,Male,146-5,146,5,2,12,2/26/15,9/29/15,215,10/27/15,264.00,,,,
3,Male,176-1,176,6,2,10,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Male,176-2,176,6,2,10,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Male,176-3,176,6,2,10,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Male,176-4,176,6,2,10,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Male,176-5,176,6,2,10,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Female,185-1,185,6,2,11,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Female,185-2,185,6,2,11,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Female,185-3,185,6,2,11,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Female,185-4,185,6,2,11,4/2/15,9/29/15,180,10/27/15,229.00,,,,
3,Female,185-5,185,6,2,11,4/2/15,9/29/15,180,10/27/15,229.00,,,,
2,Male,38-1,38,2,3,19,9/11/14,9/29/15,,x,x,,,,
2,Male,38-2,38,2,3,19,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Male,38-3,38,2,3,19,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Male,38-4,38,2,3,19,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Male,38-5,38,2,3,19,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Female,47-1,47,2,3,16,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Female,47-2,47,2,3,16,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Female,47-3,47,2,3,16,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Female,47-4,47,2,3,16,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Female,47-5,47,2,3,16,9/11/14,9/29/15,383,11/24/15,460.00,,,,
2,Male,74-1,74,3,3,14,10/15/14,9/29/15,349,11/24/15,426.00,,,,
2,Male,74-2,74,3,3,14,10/15/14,9/29/15,349,11/24/15,426.00,,,,
2,Male,74-3,74,3,3,14,10/15/14,9/29/15,349,11/24/15,426.00,,,,
2,Male,74-4,74,3,3,14,10/15/14,9/29/15,349,11/24/15,426.00,,,,
2,Male,74-5,74,3,3,14,10/15/14,9/29/15,349,11/24/15,426.00,,,,
3,Male,113-1,113,4,3,18,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Male,113-2,113,4,3,18,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Male,113-3,113,4,3,18,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Male,113-4,113,4,3,18,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Male,113-5,113,4,3,18,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Female,122-1,122,4,3,13,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Female,122-2,122,4,3,13,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Female,122-3,122,4,3,13,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Female,122-4,122,4,3,13,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Female,122-5,122,4,3,13,1/22/15,9/29/15,250,11/24/15,327.00,,,,
3,Male,149-1,149,5,3,15,2/26/15,9/29/15,215,11/24/15,292.00,,,,
3,Male,149-2,149,5,3,15,2/26/15,9/29/15,215,11/24/15,292.00,,,,
3,Male,149-3,149,5,3,15,2/26/15,9/29/15,215,11/24/15,292.00,,,,
3,Male,149-4,149,5,3,15,2/26/15,9/29/15,215,11/24/15,292.00,,,,
3,Male,149-5,149,5,3,15,2/26/15,9/29/15,215,11/24/15,292.00,,,,
2,Female,155-1,155,5,3,17,2/26/15,9/29/15,215,11/24/15,292.00,,,,
2,Female,155-2,155,5,3,17,2/26/15,9/29/15,215,11/24/15,292.00,,,,
2,Female,155-3,155,5,3,17,2/26/15,9/29/15,215,11/24/15,292.00,,,,
2,Female,155-4,155,5,3,17,2/26/15,9/29/15,215,11/24/15,292.00,,,,
2,Female,155-5,155,5,3,17,2/26/15,9/29/15,215,11/24/15,292.00,,,,